Percentile,Year,Share
p99p100,1962,0.1284
p99p100,1963,0.1298
p99p100,1964,0.1311
p99p100,1965,0.1303
p99p100,1966,0.1297
p99p100,1967,0.1237
p99p100,1968,0.1261
p99p100,1969,0.116
p99p100,1970,0.107
p99p100,1971,0.1105
p99p100,1972,0.1108
p99p100,1973,0.1088
p99p100,1974,0.1037
p99p100,1975,0.1043
p99p100,1976,0.1036
p99p100,1977,0.1058
p99p100,1978,0.1035
p99p100,1979,0.1086
p99p100,1980,0.1042
p99p100,1981,0.1067
p99p100,1982,0.1099
p99p100,1983,0.115
p99p100,1984,0.1215
p99p100,1985,0.1227
p99p100,1986,0.1198
p99p100,1987,0.1324
p99p100,1988,0.1521
p99p100,1989,0.1469
p99p100,1990,0.1471
p99p100,1991,0.1365
p99p100,1992,0.1468
p99p100,1993,0.1415
p99p100,1994,0.1402
p99p100,1995,0.1452
p99p100,1996,0.1525
p99p100,1997,0.16
p99p100,1998,0.1632
p99p100,1999,0.1676
p99p100,2000,0.1734
p99p100,2001,0.1659
p99p100,2002,0.161
p99p100,2003,0.1632
p99p100,2004,0.1706
p99p100,2005,0.1806
p99p100,2006,0.1852
p99p100,2007,0.1838
p99p100,2008,0.1793
p99p100,2009,0.167
p99p100,2010,0.1789
p99p100,2011,0.1808
p99p100,2012,0.1949
p99p100,2013,0.1846
p99p100,2014,0.1897
p99p100,2015,0.1889
p99p100,2016,0.1866
p99p100,2017,0.1905
p99p100,2018,0.1924
p99p100,2019,0.1904
p99p100,2020,0.1817
p99p100,2021,0.1988
p99p100,2022,0.2073
p99p100,2023,0.2073
p90p100,1960,0.3549
p90p100,1961,0.3557
p90p100,1962,0.3615
p90p100,1963,0.3658
p90p100,1964,0.3695
p90p100,1965,0.3665
p90p100,1966,0.3637
p90p100,1967,0.3526
p90p100,1968,0.3549
p90p100,1969,0.3411
p90p100,1970,0.3355
p90p100,1971,0.3408
p90p100,1972,0.3442
p90p100,1973,0.3462
p90p100,1974,0.3356
p90p100,1975,0.3395
p90p100,1976,0.339
p90p100,1977,0.3427
p90p100,1978,0.3402
p90p100,1979,0.3431
p90p100,1980,0.3384
p90p100,1981,0.3433
p90p100,1982,0.346
p90p100,1983,0.3536
p90p100,1984,0.3649
p90p100,1985,0.3655
p90p100,1986,0.3634
p90p100,1987,0.3747
p90p100,1988,0.3924
p90p100,1989,0.3878
p90p100,1990,0.3876
p90p100,1991,0.3832
p90p100,1992,0.3941
p90p100,1993,0.391
p90p100,1994,0.3913
p90p100,1995,0.399
p90p100,1996,0.408
p90p100,1997,0.4155
p90p100,1998,0.4192
p90p100,1999,0.4228
p90p100,2000,0.4273
p90p100,2001,0.4194
p90p100,2002,0.4149
p90p100,2003,0.4164
p90p100,2004,0.4242
p90p100,2005,0.4359
p90p100,2006,0.4429
p90p100,2007,0.4404
p90p100,2008,0.4356
p90p100,2009,0.4245
p90p100,2010,0.4381
p90p100,2011,0.4426
p90p100,2012,0.4559
p90p100,2013,0.449
p90p100,2014,0.4558
p90p100,2015,0.455
p90p100,2016,0.4536
p90p100,2017,0.4546
p90p100,2018,0.4581
p90p100,2019,0.4567
p90p100,2020,0.4461
p90p100,2021,0.4607
p90p100,2022,0.4686
p90p100,2023,0.4676
p0p50,1960,0.1822
p0p50,1961,0.1772
p0p50,1962,0.1932
p0p50,1963,0.1894
p0p50,1964,0.1858
p0p50,1965,0.1903
p0p50,1966,0.1948
p0p50,1967,0.2073
p0p50,1968,0.2061
p0p50,1969,0.2124
p0p50,1970,0.2112
p0p50,1971,0.2044
p0p50,1972,0.2024
p0p50,1973,0.2043
p0p50,1974,0.21
p0p50,1975,0.2041
p0p50,1976,0.2053
p0p50,1977,0.2027
p0p50,1978,0.2024
p0p50,1979,0.2034
p0p50,1980,0.2008
p0p50,1981,0.1969
p0p50,1982,0.1916
p0p50,1983,0.1832
p0p50,1984,0.1796
p0p50,1985,0.1782
p0p50,1986,0.1761
p0p50,1987,0.1736
p0p50,1988,0.1687
p0p50,1989,0.1698
p0p50,1990,0.1685
p0p50,1991,0.1671
p0p50,1992,0.16
p0p50,1993,0.1611
p0p50,1994,0.1617
p0p50,1995,0.1574
p0p50,1996,0.1547
p0p50,1997,0.1524
p0p50,1998,0.1528
p0p50,1999,0.1514
p0p50,2000,0.1506
p0p50,2001,0.1531
p0p50,2002,0.154
p0p50,2003,0.1509
p0p50,2004,0.1478
p0p50,2005,0.1432
p0p50,2006,0.1408
p0p50,2007,0.1431
p0p50,2008,0.1429
p0p50,2009,0.1425
p0p50,2010,0.1387
p0p50,2011,0.1356
p0p50,2012,0.1315
p0p50,2013,0.1345
p0p50,2014,0.1314
p0p50,2015,0.1321
p0p50,2016,0.1295
p0p50,2017,0.1348
p0p50,2018,0.1334
p0p50,2019,0.1358
p0p50,2020,0.137
p0p50,2021,0.1346
p0p50,2022,0.1334
p0p50,2023,0.1344
